state,county_fips,county_name,registered
NC,37117,MARTIN,16722
NC,37119,MECKLENBURG,802121
NC,37121,MITCHELL,12286
NC,37123,MONTGOMERY,18304
NC,37125,MOORE,85860
NC,37127,NASH,72876
NC,37129,NEW HANOVER,192686
NC,37131,NORTHAMPTON,12799
NC,37133,ONSLOW,113446
NC,37135,ORANGE,121954
NC,37137,PAMLICO,11078
NC,37139,PASQUOTANK,28254
NC,37141,PENDER,54040
NC,37143,PERQUIMANS,10647
NC,37145,PERSON,30606
NC,37147,PITT,121015
NC,37149,POLK,18150
NC,37151,RANDOLPH,105567
NC,37153,RICHMOND,27601
NC,37155,ROBESON,64958
NC,37157,ROCKINGHAM,68882
NC,37159,ROWAN,104714
NC,37161,RUTHERFORD,48153
NC,37163,SAMPSON,39168
NC,37165,SCOTLAND,20314
NC,37167,STANLY,50992
NC,37169,STOKES,37743
NC,37171,SURRY,52094
NC,37173,SWAIN,9794
NC,37175,TRANSYLVANIA,28861
NC,37177,TYRRELL,2440
NC,37179,UNION,193549
NC,37181,VANCE,27906
NC,37183,WAKE,907750
NC,37185,WARREN,13907
NC,37187,WASHINGTON,8256
NC,37189,WATAUGA,45965
NC,37191,WAYNE,76058
NC,37193,WILKES,50444
NC,37195,WILSON,55618
NC,37197,YADKIN,28329
NC,37199,YANCEY,15674
NV,32001,CHURCHILL,18751
NV,32003,CLARK,1432026
NV,32005,DOUGLAS,49376
NV,32007,ELKO,31186
NV,32009,ESMERALDA,639
NV,32011,EUREKA,1429
NV,32013,HUMBOLDT,11153
NV,32015,LANDER,3785
NV,32017,LINCOLN,3431
NV,32019,LYON,46585
NV,32021,MINERAL,3178
NV,32023,NYE,37494
NV,32027,PERSHING,3206
NV,32029,STOREY,4260
NV,32031,WASHOE,366058
NV,32033,WHITE PINE,6043
NV,32510,CARSON CITY,43138
PA,42001,ADAMS,84236
PA,42003,ALLEGHENY,1000700
PA,42005,ARMSTRONG,51554
PA,42007,BEAVER,131726
PA,42009,BEDFORD,39111
PA,42011,BERKS,291442
PA,42013,BLAIR,90207
PA,42015,BRADFORD,43322
PA,42017,BUCKS,556983
PA,42019,BUTLER,168667
PA,42021,CAMBRIA,98800
PA,42023,CAMERON,3082
PA,42025,CARBON,49160
PA,42027,CENTRE,112211
PA,42029,CHESTER,451339
PA,42031,CLARION,27407
PA,42033,CLEARFIELD,56153
PA,42035,CLINTON,25725
PA,42037,COLUMBIA,45244
PA,42039,CRAWFORD,59544
PA,42041,CUMBERLAND,206106
PA,42043,DAUPHIN,207675
PA,42045,DELAWARE,455794
PA,42047,ELK,23824
PA,42049,ERIE,191104
PA,42051,FAYETTE,88156
PA,42053,FOREST,3681
PA,42055,FRANKLIN,116506
PA,42057,FULTON,11357
PA,42059,GREENE,23939
PA,42061,HUNTINGDON,32161
PA,42063,INDIANA,58651
PA,42065,JEFFERSON,32124
PA,42067,JUNIATA,16811
PA,42069,LACKAWANNA,161931
PA,42071,LANCASTER,401746
PA,42073,LAWRENCE,65431
PA,42075,LEBANON,102350
PA,42077,LEHIGH,263625
PA,42079,LUZERNE,216875
PA,42081,LYCOMING,82896
PA,42083,MCKEAN,27336
PA,42085,MERCER,81125
PA,42087,MIFFLIN,30654
PA,42089,MONROE,118785
PA,42091,MONTGOMERY,723481
PA,42093,MONTOUR,13761
PA,42095,NORTHAMPTON,247521
PA,42097,NORTHUMBERLAND,60447
PA,42099,PERRY,35729
PA,42101,PHILADELPHIA,998572
PA,42103,PIKE,48542
PA,42105,POTTER,12618
PA,42107,SCHUYLKILL,101644
PA,42109,SNYDER,27831
PA,42111,SOMERSET,56779
PA,42113,SULLIVAN,5168
PA,42115,SUSQUEHANNA,31117
PA,42117,TIOGA,29982
PA,42119,UNION,29428
PA,42121,VENANGO,37128
PA,42123,WARREN,28782
PA,42125,WASHINGTON,168912
PA,42127,WAYNE,40894
PA,42129,WESTMORELAND,293681
PA,42131,WYOMING,20906
PA,42133,YORK,346125
