state,county_fips,county_name,dem_votes,rep_votes,two_party,lean_dem,early_inperson,early_mail,election_day,early_share
GA,13233,POLK,6331,23708,30039,0.2108,19208,3276,8263,0.73
GA,13235,PULASKI,2141,5106,7247,0.2954,5067,858,1444,0.8038
GA,13237,PUTNAM,6146,15443,21589,0.2847,12620,3913,5433,0.7526
GA,13239,QUITMAN,848,1111,1959,0.4329,1049,278,659,0.6678
GA,13241,RABUN,3629,13572,17201,0.211,11270,3214,3195,0.8193
GA,13243,RANDOLPH,2972,2562,5534,0.537,2981,892,1711,0.6931
GA,13245,RICHMOND,100353,46543,146896,0.6832,69364,31841,48481,0.6751
GA,13247,ROCKDALE,56119,21438,77557,0.7236,48785,14399,15787,0.7994
GA,13249,SCHLEY,823,3250,4073,0.2021,2748,404,973,0.7639
GA,13251,SCREVEN,4598,7096,11694,0.3932,6185,1496,4134,0.6492
GA,13253,SEMINOLE,2014,4749,6763,0.2978,3325,638,2897,0.5776
GA,13255,SPALDING,21116,31734,52850,0.3995,26758,9182,17182,0.6652
GA,13257,STEPHENS,3949,16727,20676,0.191,14556,2652,3888,0.8155
GA,13259,STEWART,2031,1441,3472,0.585,1694,645,1162,0.6645
GA,13261,SUMTER,11008,10333,21341,0.5158,11899,3629,6049,0.7188
GA,13263,TALBOT,3701,2504,6205,0.5965,2460,1398,2440,0.6125
GA,13265,TALIAFERRO,1004,676,1680,0.5976,819,392,487,0.7128
GA,13267,TATTNALL,3503,10820,14323,0.2446,8394,1628,4568,0.6869
GA,13269,TAYLOR,2457,4419,6876,0.3573,4277,1000,1687,0.7547
GA,13271,TELFAIR,2467,5091,7558,0.3264,3628,1183,2834,0.6285
GA,13273,TERRELL,4181,3735,7916,0.5282,3763,1427,2822,0.6477
GA,13275,THOMAS,14594,23501,38095,0.3831,23880,4765,10119,0.7387
GA,13277,TIFT,8834,19735,28569,0.3092,17069,3127,8820,0.6952
GA,13279,TOOMBS,4894,14091,18985,0.2578,11107,2776,5362,0.7209
GA,13281,TOWNS,2813,11859,14672,0.1917,9683,2405,2894,0.806
GA,13283,TREUTLEN,1604,3799,5403,0.2969,3389,697,1377,0.7474
GA,13285,TROUP,19917,32099,52016,0.3829,26992,7619,18272,0.6533
GA,13287,TURNER,2497,4226,6723,0.3714,4505,603,1713,0.7482
GA,13289,TWIGGS,3582,4199,7781,0.4604,3556,1355,2995,0.6206
GA,13291,UNION,5237,23609,28846,0.1816,16249,4210,9090,0.692
GA,13293,UPSON,7173,15253,22426,0.3199,14315,3349,5176,0.7731
GA,13295,WALKER,9812,39714,49526,0.1981,27498,6643,16778,0.6702
GA,13297,WALTON,22848,67952,90800,0.2516,52142,11992,28827,0.6896
GA,13299,WARE,6913,17340,24253,0.285,13760,3528,7343,0.7004
GA,13301,WARREN,2524,2168,4692,0.5379,2628,920,1214,0.7449
GA,13303,WASHINGTON,8270,8534,16804,0.4921,8164,3151,5714,0.6639
GA,13305,WAYNE,4669,17572,22241,0.2099,12803,2469,7339,0.6751
GA,13307,WEBSTER,1068,1412,2480,0.4306,1368,475,653,0.7381
GA,13309,WHEELER,1191,2828,4019,0.2963,2146,479,1443,0.6448
GA,13311,WHITE,4336,22321,26657,0.1627,14679,3667,9022,0.6701
GA,13313,WHITFIELD,17081,44545,61626,0.2772,28541,7259,27295,0.5666
GA,13315,WILCOX,1449,4316,5765,0.2513,2839,648,2356,0.5968
GA,13317,WILKES,3737,5212,8949,0.4176,4668,1448,2949,0.6741
GA,13319,WILKINSON,3745,4880,8625,0.4342,3469,1114,4157,0.524
GA,13321,WORTH,4169,12142,16311,0.2556,7426,1850,7284,0.5599
NC,37001,ALAMANCE,104528,125049,229577,0.4553,150401,22799,61316,0.7359
NC,37003,ALEXANDER,11378,42976,54354,0.2093,41120,2588,12167,0.7807
NC,37005,ALLEGHANY,4369,12630,16999,0.257,12209,1153,4111,0.7625
NC,37007,ANSON,14333,14217,28550,0.502,17533,1194,10340,0.6425
